city_state,state_clean,city_clean,shooting_count,avg_victim_age,pct_male,pct_minority,pct_unarmed,pct_mental_illness,pct_body_camera,avg_city_population,avg_police_dollars,avg_police_city_dollars,avg_police_cnty_dollars,years_with_data,latest_year,shooting_rate_per_100k,police_budget_per_capita,budget_tercile,shooting_count_tercile,shooting_rate_tercile,budget_category,shooting_frequency,population_size,shooting_rate_category,unarmed_category,minority_category,mental_illness_category
"St. Louis, MO",MO,St. Louis,30,30.066666666666674,0.8666666666666667,0.8,0.033333333333333333,0.13333333333333333,0,376657.51219512196,483828292.68292689,483828292.68292689,,41,2017,7.9647953455549123,1284.5311112029187,2,3,3,Medium_Budget,Many_Shootings,Medium,High_Rate,Some_Unarmed,High_Minority,Some_Mental
"Miami, FL",FL,Miami,30,37.370370370370374,0.93333333333333335,0.76666666666666672,0.066666666666666666,0.2,0.033333333333333333,373708.43902439019,572541463.41463411,367778536.58536577,204762926.82926834,41,2017,8.0276485268351241,1532.0538784441715,2,3,3,Medium_Budget,Many_Shootings,Medium,High_Rate,Some_Unarmed,High_Minority,Some_Mental
"Denver, CO",CO,Denver,31,30.851851851851841,0.87096774193548387,0.38709677419354838,0.064516129032258063,0.064516129032258063,0.064516129032258063,542832.048780488,339640000.00000006,339639512.19512188,,41,2017,5.71079030238612,625.68155429110391,1,3,3,Low_Budget,Many_Shootings,Large,High_Rate,Some_Unarmed,Medium_Minority,Rare_Mental
"Columbus, OH",OH,Columbus,31,30.9,0.93548387096774188,0.61290322580645162,0,0.064516129032258063,0.032258064516129031,688065.82926829276,335797560.9756099,305471707.31707317,30325609.756097559,41,2017,4.5053828691022506,488.0311544212359,1,3,3,Low_Budget,Many_Shootings,Large,High_Rate,None_Unarmed,Medium_Minority,Rare_Mental
"Albuquerque, NM",NM,Albuquerque,37,34.34375,0.94594594594594594,0.64864864864864868,0.081081081081081086,0.16216216216216217,0.16216216216216217,436905.73170731706,319049024.39024395,265635609.75609753,53412926.829268292,41,2017,8.4686460521846136,730.246827258322,1,3,3,Low_Budget,Many_Shootings,Medium,High_Rate,Some_Unarmed,Medium_Minority,Some_Mental
"Las Vegas, NV",NV,Las Vegas,49,39.041666666666643,0.95918367346938771,0.46938775510204084,0.061224489795918366,0.46938775510204084,0.44897959183673469,386547.09756097564,269855121.95121944,8586097.56097561,261269024.39024389,41,2017,12.676333701424449,698.117056508622,1,3,3,Low_Budget,Many_Shootings,Medium,High_Rate,Some_Unarmed,Medium_Minority,Frequent_Mental
"Phoenix, AZ",AZ,Phoenix,79,33.94666666666668,0.94936708860759489,0.45569620253164556,0.050632911392405063,0.12658227848101267,0.050632911392405063,1172663.2682926832,317887073.17073172,287934146.34146333,29953902.439024393,41,2017,6.7368017858202851,271.0812914209834,1,3,3,Low_Budget,Many_Shootings,Large,High_Rate,Some_Unarmed,Medium_Minority,Some_Mental
"Bridgeport, CT",CT,Bridgeport,1,16,1,1,0,0,0,142912.39024390245,369543414.63414633,369543414.63414633,,41,2017,0.699729392457395,2585.8038900858242,3,1,1,High_Budget,Few_Shootings,Small,Low_Rate,None_Unarmed,High_Minority,Rare_Mental
"Galveston, TX",TX,Galveston,1,18,1,1,0,0,0,56927.048780487807,309197804.87804872,254222439.02439025,54974634.146341458,41,2017,1.7566341860721186,5431.4743430723693,3,1,1,High_Budget,Few_Shootings,Small,Low_Rate,None_Unarmed,High_Minority,Rare_Mental
"Ft. Lauderdale, FL",FL,Ft. Lauderdale,1,29,1,1,0,0,0,162566.02439024393,647784390.24390233,490298048.78048778,157487073.17073169,41,2017,0.61513468373900448,3984.7464602374675,3,1,1,High_Budget,Few_Shootings,Small,Low_Rate,None_Unarmed,High_Minority,Rare_Mental
